ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	regens	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
20.521132722695615	69.124	13.563909774436091	53.30576441102757	44.39598997493734	52.64991892639999	31	4201	180	27.0	181.0	152.0	11	3.0	3.0	2.0	0	151	0	7.964725017547607	16000	114.26007890701294	6414	59.9125	
22.09124927770461	71.5	13.877284595300262	56.039164490861616	46.67885117493473	52.64991892639999	32	4319	188	29.0	174.0	147.0	12	3.0	3.0	2.0	0	151	0	7.212012529373169	16500	121.47209143638611	6644	59.733333333333334	
21.137565067952487	76.166	14.044041450777202	59.626943005181346	49.64248704663213	52.64991892639999	33	4434	190	29.0	174.0	147.0	5	3.0	3.0	2.0	0	151	0	7.135601997375488	17000	128.6076934337616	6863	59.62941176470588	
21.9511110392275	73.926	14.276315789473685	60.38421052631579	50.223684210526315	52.64991892639999	34	4555	203	29.0	174.0	147.0	10	3.0	3.0	2.0	0	151	0	6.861201524734497	17500	135.4688949584961	7081	59.537142857142854	
22.227485076392654	76.096	14.196286472148541	60.48541114058355	50.3448275862069	52.64991892639999	35	4679	188	29.0	190.0	160.0	10	3.0	3.0	2.0	0	151	0	6.229176998138428	18000	141.69807195663452	7287	59.516666666666666	
22.659699606986962	79.23	14.410994764397905	62.10471204188482	51.62303664921466	52.64991892639999	36	4798	211	29.0	198.0	167.0	9	3.0	3.0	2.0	0	151	0	10.47938084602356	18500	152.17745280265808	7516	59.372972972972974	
25.237822414833577	83.34	14.5561797752809	65.01404494382022	54.11516853932584	52.64991892639999	37	4943	195	29.0	198.0	167.0	11	3.0	3.0	2.0	0	151	0	9.577170372009277	19000	161.75462317466736	7705	59.44736842105263	
24.43515099948001	83.642	14.514511873350923	64.60158311345647	53.754617414248024	52.64991892639999	38	5065	197	29.0	201.0	169.0	11	3.0	3.0	2.0	0	151	0	6.429042339324951	19500	168.1836655139923	7923	59.36923076923077	
25.6101045300512	86.79	14.802005012531328	67.4486215538847	56.1077694235589	52.64991892639999	39	5167	204	30.0	201.0	169.0	11	3.0	3.0	2.0	0	151	0	6.279722690582275	20000	174.46338820457458	8145	59.275	
26.103253499892777	90.672	14.93010752688172	70.39516129032258	58.56182795698925	52.64991892639999	40	5296	214	29.0	213.0	179.0	26	3.0	3.0	2.0	0	151	0	13.251835107803345	20500	187.71522331237793	8354	59.24878048780488	
26.517966547646562	90.246	15.10655737704918	74.79781420765028	62.32786885245902	52.64991892639999	41	5431	200	29.0	198.0	166.0	20	3.0	3.0	2.0	0	151	0	22.001570224761963	21000	209.7167935371399	8543	59.31904761904762	
25.535607326001834	90.376	15.415760869565217	76.80163043478261	64.01086956521739	52.64991892639999	42	5564	206	31.0	212.0	178.0	11	3.0	3.0	2.0	0	151	0	17.849676370620728	21500	227.56646990776062	8756	59.27441860465116	
25.456814550359233	89.896	15.234536082474227	74.83505154639175	62.33762886597938	52.64991892639999	43	5677	216	29.0	212.0	178.0	11	3.0	3.0	2.0	0	151	0	6.460196495056152	22000	234.02666640281677	8965	59.25	
26.091873852374043	89.67	15.5	74.24728260869566	61.94021739130435	52.64991892639999	44	5810	215	32.0	223.0	187.0	27	3.0	3.0	2.0	0	151	0	11.655689716339111	22500	245.68235611915588	9172	59.23555555555556	
24.887810598143496	90.398	15.454545454545455	74.22727272727273	61.97860962566845	52.64991892639999	45	5937	218	32.0	223.0	187.0	21	3.0	3.0	2.0	0	151	0	12.133726119995117	23000	257.816082239151	9380	59.21739130434783	
26.17031229530481	91.504	16.013368983957218	78.1951871657754	65.36898395721926	52.64991892639999	46	6064	206	35.0	212.0	178.0	32	3.0	3.0	2.0	0	151	0	9.674000024795532	23500	267.49008226394653	9612	59.09787234042553	
26.95375144085714	96.168	16.65934065934066	84.3021978021978	70.47252747252747	52.64991892639999	47	6201	206	33.0	212.0	178.0	27	9.0	19.0	16.0	0	151	0	6.955045700073242	24000	274.4451279640198	9829	59.045833333333334	
